Food,Foraging,"0.310 F/s","Forage bushes are usually used at the game as second or third food option, before farms. Very often a Mill is build close to it, fastening the gathering. However, bushes are very vulnerable to overcrowding, decreasing the productivity."
Food,Livestock,"0.330 F/s","Includes sheep, turkey, cow and goat. Livestock have a interesting attribute: they can be positioned underneath the Town Center, nullifying the walk time. Usually only two livestock are placed in the Town Center per time (yes, this requires some micromanagement and experience). Probably, the only downside is that you have to search for them."
Food,"Livestock with Britons","0.408 F/s","Includes sheep, turkey, cow and goat. Livestock are specially important for Britons. Finding about 12-14 livestock on land nomad can be enough for them to very quickly reach the Castle Age."
Food,Farming,"0.33 - 0.41 F/s","0.33 F/s without upgrades, 0.38 F/s with Wheelbarrow+Heavy Plow, 0.41 F/s after Hand Cart (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qROIwgp19j7Ml9-u"">Tests</a>). The real farming speed also depends on the walking distance and villager speed and carrying capacity (wheelbarrow and handcart). They require wood and a mill. Also, farms can be upgraded with the Horse Collar, Heavy Plow and Crop Rotation, to increase a maximum amount of food. A player needs to have caution when <a href=""http://www.cysion.be/aocbox/?p=1318"">placing</a> them to have the optimal results!"
Food,"Farming with Mayans","0.32 - 0.39 F/s","0.32 F/s without upgrades, 0.35 F/s with Wheelbarrow+Heavy Plow, 0.39 F/s after Hand Cart (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qROIwgp19j7Ml9-u"">Tests</a>). <br />""Mayan farmers effectively work 15% slower, however, because a lot of the farming is actually 'running around on the farm', the real effect is roughly 5% slower.""(cysion)"
Food,"Farming with Aztecs","0.38 - 0.42 F/s","0.38 F/s without upgrades, 0.40 F/s with Wheelbarrow+Heavy Plow, 0.42 F/s after Hand Cart (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qROIwgp19j7Ml9-u"">Tests</a>). This speed improvement is due to the +5 carrying capacity."
Food,"Eatable predators","0.41 F/s","Includes wild boars and elephants. These animals fight back when attacked, althought they rush the villagers who shot at them blindly. This way they can be lured to the Town Center to nullify the walking time, pretty much like livestock, except that you cannot actively control them. Most random maps have 2 of them close to your city, which are very useful. In some cases, it might be necessary to research Loom before luring to avoid the villager dying to the boar."
Food,"Eatable predators with Mongols","0.610 F/s","Includes wild boars and elephants. Mongol hunters receive a bonus to gather food faster from these animals."
Food,"Prey animals","0.41 F/s","Include deer, zebras and ostriches. These animals, unlike predators, flee when attacked, or when a unit comes near them. Because of this attribute, it's quite difficult to lure them closer to the Town Center, althought a Scout can do the trick. But, usually, players build a Mill close to the pocket. There are usually 2 pockets of prey per player in a random game."
Food,"Prey animals with Mongols","0.610 F/s","Include deer, zebras and ostriches. Mongol hunters receive a bonus to gather food faster from these animals."
Food,"Fishing with villagers","0.43 F/s","The type of fish (deep or shore) makes no difference in speed. Fishing shore fish with villagers is faster than with Fishing Ships, but has the obvious disadvantage of only being able to fish near the shore. Also, before the researching of wheelbarrow they can't carry more than 10, whilst ships can carry 15 units. Also, they usually require a mill nearby, because the Town Center is usually far away."
Food,"Fishing deep fish","0.49 - 0.604 F/s","0.604 F/s with the Gillnets technology. Ship fishing is a good alternate in maps that has lakes and seas. Sea economy expand very quickly, when compared to villager based economies. They can expand even in Dark Age, whilst villager economies show great expansion only from the Castle Age onwards."
Food,"Fishing deep fish with japanese","0.511 - 0.726 F/s","Japanese have a bonus to their fishing ship work speed: 5% in Dark, 10% in Feudal, 15% in Castle, 20% in Imperial and Gillnets also boosts the gathering rate. These correspond to 0.511 F/s in Dark age, 0.536 F/s in Feudal Age, 0.559 F/s in Castle age, 0.692 F/s with Gillnets, 0.585 F/s in Imperial Age and 0.726 F/s with Gillnets in Imperial Age (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qRSkwXtCvEJ5-88m"">Tests</a>). Note these values hold only when the fishing ship doesn't have to move to drop off resources. Real values will be lower based on the distance."
